label,text
ham,"I guess you could be as good an excuse as any, lol."
spam,"Hello from Orange. For 1 month's free access to games, news and sport, plus 10 free texts and 20 photo messages, reply YES. Terms apply: www.orange.co.uk/ow"
spam,"Got what it takes 2 take part in the WRC Rally in Oz? U can with Lucozade Energy! Text RALLY LE to 61200 (25p), see packs or lucozade.co.uk/wrc & itcould be u!"
ham,Sounds like there could be a lot of time spent in that chastity device boy ... *grins* ... Or take your beatings like a good dog. Going to lounge in a nice long bath now ?
ham,Sure but since my parents will be working on Tuesday I don't really need a cover story
ham,And how's your husband.
ham,R Ì_ comin back for dinner?
ham,His frens go then he in lor. Not alone wif my mum n sis lor.
ham,TaKe CaRE n gET WeLL sOOn
ham,I'm not coming home 4 dinner.
ham,Tell me again what your address is
ham,S:-)if we have one good partnership going we will take lead:)
ham,O. Well uv causes mutations. Sunscreen is like essential thesedays
ham,"whatever, im pretty pissed off."
ham,I gotta collect da car at 6 lei.
ham,"When people see my msgs, They think Iam addicted to msging... They are wrong, Bcoz They don\'t know that Iam addicted to my sweet Friends..!! BSLVYL"
spam,WIN a year supply of CDs 4 a store of ur choice worth å£500 & enter our å£100 Weekly draw txt MUSIC to 87066 Ts&Cs www.Ldew.com.subs16+1win150ppmx3
ham,Thts god's gift for birds as humans hav some natural gift frm god..
ham,That seems unnecessarily affectionate
spam,You'll not rcv any more msgs from the chat svc. For FREE Hardcore services text GO to: 69988 If u get nothing u must Age Verify with yr network & try again
ham,"Hmmm.. Thk sure got time to hop ard... Ya, can go 4 free abt... Muz call u to discuss liao... "
spam,"FreeMSG You have been awarded a FREE mini DIGITAL CAMERA, just reply SNAP to collect your prize! (quizclub Opt out? Stop 80122300p/wk SP:RWM Ph:08704050406)"
ham,U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.
ham,Thanks for being there for me just to talk to on saturday. You are very dear to me. I cherish having you as a brother and role model.
spam,Thanks 4 your continued support Your question this week will enter u in2 our draw 4 å£100 cash. Name the NEW US President? txt ans to 80082
ham,I'll probably be by tomorrow (or even later tonight if something's going on)
ham,Ha ha ha good joke. Girls are situation seekers.
ham,Tell me whos this pls:-)
ham,Ard 530 like dat lor. We juz meet in mrt station then Ì_ dun haf to come out.
ham,"Not for possession, especially not first offense"
ham,Meanwhile in the shit suite: xavier decided to give us  &lt;#&gt;  seconds of warning that samantha was coming over and is playing jay's guitar to impress her or some shit. Also I don't think doug realizes I don't live here anymore
ham,"Whatever, juliana. Do whatever you want."
ham,My sort code is  and acc no is . The bank is natwest. Can you reply to confirm i've sent this to the right person!
ham,I don't know but I'm raping dudes at poker
ham,"Tunji, how's the queen? how are you doing. This is just wishing you a great day. Abiola."
ham,"I'll text carlos and let you know, hang on"
spam,URGENT! Your Mobile number has been awarded with a å£2000 Bonus Caller Prize. Call 09058095201 from land line. Valid 12hrs only
ham,Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!
ham,We're done...
spam,07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow
ham,"If we hit it off, you can move in with me :)"
ham,"I'm in a meeting, call me later at"
ham,"* Was a nice day and, impressively, i was sensible, went home early and now feel fine. Or am i just boring?! When's yours, i can't remember."
ham,"Say this slowly.? GOD,I LOVE YOU &amp; I NEED YOU,CLEAN MY HEART WITH YOUR BLOOD.Send this to Ten special people &amp; u c miracle tomorrow, do it,pls,pls do it..."
spam,network operator. The service is free. For T & C's visit 80488.biz
ham,"Wn u r hurt by d prsn who s close 2 u, do fight wit dem. Coz somtimes dis fight saves a relation bt being quiet leaves nothin in a relation.. Gud eveB-)"
ham,"Hey there! Glad u r better now. I hear u treated urself to a digi cam, is it good? We r off at 9pm. Have a fab new year, c u in coupla wks!"
spam,"Final Chance! Claim ur å£150 worth of discount vouchers today! Text YES to 85023 now! SavaMob, member offers mobile! T Cs SavaMob POBOX84, M263UZ. å£3.00 Subs 16"
ham,Please tell me not all of my car keys are in your purse
ham,Umma my life and vava umma love you lot dear
ham,And of course you should make a stink!
ham,Not yet. Just i'd like to keep in touch and it will be the easiest way to do that from barcelona. By the way how ru and how is the house?
ham,I just lov this line: \Hurt me with the truth
ham,Taka lor. Wat time u wan 2 come n look 4 us?
spam,Congratulations ur awarded either å£500 of CD gift vouchers & Free entry 2 our å£100 weekly draw txt MUSIC to 87066 TnCs www.Ldew.com1win150ppmx3age16
ham,Got c... I lazy to type... I forgot Ì_ in lect... I saw a pouch but like not v nice...
ham,Yes but can we meet in town cos will go to gep and then home. You could text at bus stop. And don't worry we'll have finished by march ‰Û_ ish!
ham,Darren was saying dat if u meeting da ge den we dun meet 4 dinner. Cos later u leave xy will feel awkward. Den u meet him 4 lunch lor.
ham,They released vday shirts and when u put it on it makes your bottom half naked instead of those white underwear.
ham,Oh did you charge camera
ham,Not to worry. I'm sure you'll get it.
ham,Now get step 2 outta the way. Congrats again.
spam,"FREE GAME. Get Rayman Golf 4 FREE from the O2 Games Arcade. 1st get UR games settings. Reply POST, then save & activ8. Press 0 key for Arcade. Termsapply"
spam,Your B4U voucher w/c 27/03 is MARSMS. Log onto www.B4Utele.com for discount credit. To opt out reply stop. Customer care call 08717168528
ham,Meeting u is my work. . . Tel me when shall i do my work tomorrow
ham,Shb b ok lor... Thanx...
ham,Ha... Both of us doing e same thing. But i got tv 2 watch. U can thk of where 2 go tonight or u already haf smth in mind...
spam,"1000's flirting NOW! Txt GIRL or BLOKE & ur NAME & AGE, eg GIRL ZOE 18 to 8007 to join and get chatting!"
ham,Tell your friends what you plan to do on Valentines day @ &lt;URL&gt;
ham,Are you in castor? You need to see something
ham,And popping &lt;#&gt; ibuprofens was no help.
ham, gonna let me know cos comes bak from holiday that day.  is coming. Don't4get2text me  number. 
ham,Yes see ya not on the dot
ham,Ok...
ham,My uncles in Atlanta. Wish you guys a great semester.
spam,Do you want a new video handset? 750 anytime any network mins? Half Price Line Rental? Camcorder? Reply or call 08000930705 for delivery tomorrow
ham,Ok k..sry i knw 2 siva..tats y i askd..
ham,"\OH FUCK. JUSWOKE UP IN A BED ON A BOATIN THE DOCKS. SLEPT WID 25 YEAR OLD. SPINOUT! GIV U DA GOSSIP L8R. XXX\"""""
ham,Oh oh... Wasted... Den muz chiong on sat n sun liao...
spam,Here is your discount code RP176781. To stop further messages reply stop. www.regalportfolio.co.uk. Customer Services 08717205546
ham,And maybe some pressies
ham,"Fighting with the world is easy, u either win or lose bt fightng with some1 who is close to u is dificult if u lose - u lose if u win - u still lose."
ham,"New Theory: Argument wins d SITUATION, but loses the PERSON. So dont argue with ur friends just.. . . . kick them &amp; say, I'm always correct.!"
ham,Much better now thanks lol
ham,"He is impossible to argue with and he always treats me like his sub, like he never released me ... Which he did and I will remind him of that if necessary"
ham,Wat makes u thk i'll fall down. But actually i thk i'm quite prone 2 falls. Lucky my dad at home i ask him come n fetch me already.
ham,"So many people seems to be special at first sight, But only very few will remain special to you till your last sight.. Maintain them till life ends.. Sh!jas"
ham,I cant pick the phone right now. Pls send a message
ham,Leaving to qatar tonite in search of an opportunity.all went fast.pls add me in ur prayers dear.Rakhesh
spam,"Xmas Offer! Latest Motorola, SonyEricsson & Nokia & FREE Bluetooth or DVD! Double Mins & 1000 Txt on Orange. Call MobileUpd8 on 08000839402 or call2optout/4QF2"
ham,Is ur paper today in e morn or aft?
ham,I dont know exactly could you ask chechi.
ham,Hey... What time is your driving on fri? We go for evaluation on fri?
ham,"Hiya, sorry didn't hav signal. I haven't seen or heard from and neither has, which is unusual in itself! I'll put on the case and get him to sort it out! Hugs and snogs."
spam,Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send GO to 86688 only 150p/msg. CC: 08718720201 PO BOX 114/14 TCR/W1
ham,"Kind of. Just missed train cos of asthma attack, nxt one in half hr so driving in. not sure where to park."
ham,Hey sexy buns! What of that day? No word from you this morning on YM ... :-( ... I think of you
ham,Yes. Last  practice
spam,"Our dating service has been asked 2 contact U by someone shy! CALL 09058091870 NOW all will be revealed. POBox84, M26 3UZ 150p"
ham,I'm coming home 4 dinner.
ham,Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.
ham,Wat's da model num of ur phone?
ham,"Sorry, I'll call later In meeting."
ham,"Excellent, I'll see what riley's plans are"
spam,money!!! you r a lucky winner ! 2 claim your prize text money 2 88600 over å£1million to give away ! ppt150x3+normal text rate box403 w1t1jy
ham,"Aight I'll grab something to eat too, text me when you're back at mu"
ham,As per your request 'Maangalyam (Alaipayuthe)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune
ham,"Sorry man, accidentally left my phone on silent last night and didn't check it til I got up"
ham,"naughty little thought: 'its better to flirt, flirt n flirt, rather than loving someone n gettin hurt, hurt n hurt...:-) Gud nyt"
ham,Cbe is really good nowadays:)lot of shop and showrooms:)city is shaping good.
ham,Thanx u darlin!im cool thanx. A few bday drinks 2 nite. 2morrow off! Take care c u soon.xxx
ham,Yes..he is really great..bhaji told kallis best cricketer after sachin in world:).very tough to get out.
spam,URGENT This is our 2nd attempt to contact U. Your å£900 prize from YESTERDAY is still awaiting collection. To claim CALL NOW 09061702893
ham,"K, wait chikku..il send aftr  &lt;#&gt; mins"
ham,Was gr8 to see that message. So when r u leaving? Congrats dear. What school and wat r ur plans.
ham,Dont worry. I guess he's busy.
spam,U have a secret admirer. REVEAL who thinks U R So special. Call 09065174042. To opt out Reply REVEAL STOP. 1.50 per msg recd. Cust care 07821230901
ham,Not a drop in the tank
ham,U reach orchard already? U wan 2 go buy tickets first?
ham,Sorry da:)i was thought of calling you lot of times:)lil busy.i will call you at noon..
ham,Just nw i came to hme da..
ham,"And stop wondering \wow is she ever going to stop tm'ing me ?!\"" because I will tm you whenever I want because you are MINE ... *laughs*"""
ham,Hello! How r u? Im bored. Inever thought id get bored with the tv but I am. Tell me something exciting has happened there? Anything! =/
ham,Yes but can we meet in town cos will go to gep and then home. You could text at bus stop. And don't worry we'll have finished by march ‰Û_ ish!
ham,Not yet chikku..wat abt u?
ham,"Sad story of a Man - Last week was my b'day. My Wife did'nt wish me. My Parents forgot n so did my Kids . I went to work. Even my Colleagues did not wish. As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there. She said,'' do u mind if I go into the bedroom for a minute ? '' ''OK'', I sed in a sexy mood. She came out 5 minuts latr wid a cake...n My Wife, My Parents, My Kidz, My Friends n My Colleagues. All screaming.. SURPRISE !! and I was waiting on the sofa.. ... ..... ' NAKED...!"
ham,K..k..i'm also fine:)when will you complete the course?
spam,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030
ham,I love ya too but try and budget your money better babe. Gary would freak on me if he knew
ham,Same to u...
ham,I sent lanre fakeye's Eckankar details to the mail box
ham,Change windows logoff sound..
ham,great princess! I love giving and receiving oral. Doggy style is my fave position. How about you? I enjoy making love  &lt;#&gt;  times per night :)
ham,Lol I know! They're so dramatic. Schools already closed for tomorrow. Apparently we can't drive in the inch of snow were supposed to get.
ham,Yunny i'm walking in citylink now Ì_ faster come down... Me very hungry...
ham,HEY MATE! HOWS U HONEY?DID U AVE GOOD HOLIDAY? GIMMI DE GOSS!x
ham,Ha ha - had popped down to the loo when you hello-ed me. Hello!
ham,Did you stitch his trouser
ham,Ok...
ham,"Sorry, I'll call later"
ham,Sorry me going home first... Daddy come fetch Ì_ later...
ham,Gain the rights of a wife.dont demand it.i am trying as husband too.Lets see
ham,"Cool, what time you think you can get here?"
ham,Haven't eaten all day. I'm sitting here staring at this juicy pizza and I can't eat it. These meds are ruining my life.
ham,An excellent thought by a misundrstud frnd: I knw u hate me bt the day wen u'll knw the truth u'll hate urself:-( Gn:-)
ham,"They said if its gonna snow, it will start around 8 or 9 pm tonite! They are predicting an inch of accumulation."
ham,Haiyoh... Maybe your hamster was jealous of million
ham,Eh u send wrongly lar...
ham,Your board is working fine. The issue of overheating is also reslove. But still software inst is pending. I will come around 8'o clock.
ham,Haha... They cant what... At the most tmr forfeit... haha so how?
ham,Send his number and give reply tomorrow morning for why you said that to him like that ok
ham,Its ok my arm is feeling weak cuz i got a shot so we can go another time
ham,Never try alone to take the weight of a tear that comes out of ur heart and falls through ur eyes... Always remember a STUPID FRIEND is here to share... BSLVYL
spam,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030
ham,K I'll take care of it
spam,**FREE MESSAGE**Thanks for using the Auction Subscription Service. 18 . 150p/MSGRCVD 2 Skip an Auction txt OUT. 2 Unsubscribe txt STOP CustomerCare 08718726270
spam,tells u 2 call 09066358152 to claim å£5000 prize. U have 2 enter all ur mobile & personal details @ the prompts. Careful!
ham,I place all ur points on e cultures module already.
ham,K k :-):-) then watch some films.
ham,Pls i wont belive god.not only jesus.
ham,You need to get up. Now.
ham,Then u going ikea str aft dat?
spam,"Had your contract mobile 11 Mnths? Latest Motorola, Nokia etc. all FREE! Double Mins & Text on Orange tariffs. TEXT YES for callback, no to remove from records."
ham,Msgs r not time pass.They silently say that I am thinking of U right now and also making U think of me at least 4 a moment. Gd nt.swt drms @Shesil
ham,I can't make it tonight
ham,Yar he quite clever but aft many guesses lor. He got ask me 2 bring but i thk darren not so willing 2 go. Aiya they thk leona still not attach wat.
ham,You are a very very very very bad girl. Or lady.
ham,"It‰Û÷s reassuring, in this crazy world."
ham,"Hey, a guy I know is breathing down my neck to get him some bud, anyway you'd be able to get a half track to usf tonight?"
ham,Well there's a pattern emerging of my friends telling me to drive up and come smoke with them and then telling me that I'm a weed fiend/make them smoke too much/impede their doing other things so you see how I'm hesitant
ham,"Not yet chikku..k, then wat abt tht guy did he stopped irritating or msging to u.."
ham,No..but heard abt tat..
ham,Do u noe wat time e place dat sells 4d closes?
ham,Desires- u going to doctor 4 liver. And get a bit stylish. Get ur hair managed. Thats it.
ham,There the size of elephant tablets & u shove um up ur ass!!
ham,Then mum's repent how?
ham,At WHAT TIME should i come tomorrow
ham,"Nah I don't think he goes to usf, he lives around here though"
spam,"Spook up your mob with a Halloween collection of a logo & pic message plus a free eerie tone, txt CARD SPOOK to 8007 zed 08701417012150p per logo/pic"
ham,Also hi wesley how've you been
spam,"Had your mobile 10 mths? Update to the latest Camera/Video phones for FREE. KEEP UR SAME NUMBER, Get extra free mins/texts. Text YES for a call"
spam,"URGENT! Your mobile No 07xxxxxxxxx won a å£2,000 bonus caller prize on 02/06/03! this is the 2nd attempt to reach YOU! call 09066362231 ASAP! BOX97N7QP, 150PPM"
ham,"Storming msg: Wen u lift d phne, u say \HELLO\"" Do u knw wt is d real meaning of HELLO?? . . . It's d name of a girl..! . . . Yes.. And u knw who is dat girl?? \""Margaret Hello\"" She is d girlfrnd f Grahmbell who invnted telphone... . . . . Moral:One can 4get d name of a person"
ham,When i have stuff to sell i.ll tell you
ham,Hey u still at the gym?
ham,"As usual..iam fine, happy &amp; doing well..:)"
ham,"\Pete can you please ring meive hardly gotany credit\"""""
ham,How r Ì_ going to send it to me?
ham,Wif my family booking tour package.
ham,"Sir, I need AXIS BANK account no and bank address."
ham,Still in customer place
ham,Yes. that will be fine. Love you. Be safe.
ham,"I don't know, same thing that's wrong everyso often, he panicks starts goin on bout not bein good enough ‰Û_"
ham,"Sorry, I'll call later"
ham,You available now? I'm like right around hillsborough &amp;  &lt;#&gt; th
ham,1 in cbe. 2 in chennai.
ham,Where are you lover ? I need you ...
ham,"Hi Jon, Pete here, Ive bin 2 Spain recently & hav sum dinero left, Bill said u or ur åÔrents mayb interested in it, I hav 12,000pes, so around å£48, tb, James."
ham,I am not sure about night menu. . . I know only about noon menu
ham,"You are everywhere dirt, on the floor, the windows, even on my shirt. And sometimes when i open my mouth, you are all that comes flowing out. I dream of my world without you, then half my chores are out too. A time of joy for me, lots of tv shows i.ll see. But i guess like all things you just must exist, like rain, hail and mist, and when my time here is done, you and i become one."
ham,"K.. I yan jiu liao... Sat we can go 4 bugis vill one frm 10 to 3 den hop to parco 4 nb. Sun can go cine frm 1030 to 2, den hop to orc mrt 4 hip hop at 4..."
ham,Come to my home for one last time i wont do anything. Trust me.
ham,Hey i'm bored... So i'm thinking of u... So wat r u doing?
ham,U WILL SWITCH YOUR FONE ON DAMMIT!!
ham,"We made it! Eta at taunton is 12:30 as planned, hope that‰Û÷s still okday?! Good to see you! :-xx"
ham,"Almost there, see u in a sec"
ham,ÌÏ mean it's confirmed... I tot they juz say oni... Ok then... 
ham,Gam gone after outstanding innings.
ham,I wonder if you'll get this text?
ham,Also remember to get dobby's bowl from your car
ham,Now i'm going for lunch.
ham,i see. When we finish we have loads of loans to pay
ham,"Sorry, I'll call later"
ham,"Ok da, i already planned. I wil pick you."
ham,I think just yourself ‰Û_Thanks and see you tomo
ham,"Well done, blimey, exercise, yeah, i kinda remember wot that is, hmm. "
ham,What about this one then.
ham,It certainly puts things into perspective when something like this happens
ham,Speaking of does he have any cash yet?
ham,Text her. If she doesnt reply let me know so i can have her log in
ham,I taught that Ranjith sir called me. So only i sms like that. Becaus hes verifying about project. Prabu told today so only pa dont mistake me..
ham,"Dear Hero,i am leaving to qatar tonite for an apt opportunity.pls do keep in touch at  &lt;EMAIL&gt; ,kerala"
ham,Minimum walk is 3miles a day.
ham,Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola
ham,"Night has ended for another day, morning has come in a special way. May you smile like the sunny rays and leaves your worries at the blue blue bay."
ham,Watch lor. I saw a few swatch one i thk quite ok. Ard 116 but i need 2nd opinion leh...
ham,Aww that's the first time u said u missed me without asking if I missed u first. You DO love me! :)
ham,You know my old Dom I told you about yesterday ? His name is Roger? He got in touch with me last night and wants me to meet him today at 2 pm
spam,Santa calling! Would your little ones like a call from Santa Xmas Eve? Call 09077818151 to book you time. Calls1.50ppm last 3mins 30s T&C www.santacalling.com
ham,Depends on where u going lor.
ham,Hello handsome ! Are you finding that job ? Not being lazy ? Working towards getting back that net for mummy ? Where's my boytoy now ? Does he miss me ?
ham,"Babe! I fucking love you too !! You know? Fuck it was so good to hear your voice. I so need that. I crave it. I can't get enough. I adore you, Ahmad *kisses*"
ham,I am sorry it hurt you.
ham,"Princess, is your kitty shaved or natural?"
ham,True dear..i sat to pray evening and felt so.so i sms'd you in some time...
ham,In which place i can get rooms cheap:-)
ham,Wait.i will come out.. &lt;#&gt;  min:)
ham,Yo you guys ever figure out how much we need for alcohol? Jay and I are trying to figure out how much we can safely spend on weed
ham,HOW ARE U? I HAVE MISSED U! I HAVENT BEEN UP 2 MUCH A BIT BORED WITH THE HOLIDAY WANT 2 GO BAK 2 COLLEGE! SAD ISNT IT?xx
spam,"YOUR CHANCE TO BE ON A REALITY FANTASY SHOW call now = 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 is a national = rate call"
ham,cud u tell ppl im gona b a bit l8 cos 2 buses hav gon past cos they were full & im still waitin 4 1. Pete x
ham,"What i mean was i left too early to check, cos i'm working a 9-6."
ham,"Ok da, i already planned. I wil pick you."
ham,"Dude. What's up. How Teresa. Hope you have been okay. When i didnt hear from these people, i called them and they had received the package since dec  &lt;#&gt; . Just thot you'ld like to know. Do have a fantastic year and all the best with your reading. Plus if you can really really Bam first aid for Usmle, then your work is done."
ham,I'm not driving... Raining! Then i'll get caught at e mrt station lor.
ham,"Sorry I missed you babe. I was up late and slept in. I hope you enjoy your driving lesson, boytoy. I miss you too ... *teasing kiss*"
ham,Leaving to qatar tonite in search of an opportunity.all went fast.pls add me in ur prayers dear.Rakhesh
ham,Aiyah then i wait lor. Then u entertain me. Hee...
ham,Will do. Was exhausted on train this morning. Too much wine and pie. You sleep well too
ham,Dunno lei shd b driving lor cos i go sch 1 hr oni.
ham,Can you use foreign stamps for whatever you send them off for? 
ham,"Don't worry though, I understand how important it is that I be put in my place with a poorly thought out punishment in the face of the worst thing that has ever happened to me. Brb gonna go kill myself"
spam,URGENT! We are trying to contact U. Todays draw shows that you have won a å£800 prize GUARANTEED. Call 09050003091 from land line. Claim C52. Valid12hrs only
ham,"Hmm, too many of them unfortunately... Pics obviously arent hot cakes. Its kinda fun tho"
ham,Never y lei... I v lazy... Got wat? Dat day Ì_ send me da url cant work one...
ham,How are you doing? Hope you've settled in for the new school year. Just wishin you a gr8 day
